The Bare Necessities,C#,G,E,A,audio/DNatural.mp3,Dm,Has worry got you down?
Cheek to Cheek,C,E,G,C,audio/CNatural.mp3,C,Dancing can be so much fun
Goodbye Yellow Brick Road,A,C,F,F,audio/FNatural.mp3,F,Doo Doo Doo Doo
I Can't Give You Anything But Love,B,G,D,G,audio/GNatural.mp3,G,Now that it's your birthday
No No Nora,F,C,A,F,audio/FNatural.mp3,F,In the apartment above me
I'm Feelin' Fine,E,A,C,C,audio/FNatural.mp3,F,Well I woke up this mornin'
Their Hearts Were Full Of Spring,C#,C#,G#,A,audio/ANatural.mp3,A,(Tenor Pickup) Doo doo.. doo doo doo doo
When She Loved Me,C,Ab,Eb,Ab,audio/AFlat.mp3,Ab,Doo doo doo doo doo doo
Your First Day in Heaven,F#,A,B,A,audio/CNatural.mp3,C,(Ba..) Da dat da da dat da da.. Well
Looking At The World Through Rose Colored Glasses,F,C,A,F,audio/FNatural.mp3,F,Oh! What a day, Mister Sunshine!
Smile Medley,F,D,A,D,audio/DNatural.mp3,D,Whenever grey skies come your way..
Lullabye (Goodnight My Angel),C,Ab,Eb,Eb,audio/AFlat.mp3,Ab,(Do do) do do do do do do do d
